dataset,paper_dataset,method,metric,runs,mean,std,mean_std
MainSeed_TaxiBJ_P3,TaxiBJ P3,UrbanFM,MAPE,3,147814.0864230000,35623.0195262126,147814.0864 +/- 35623.0195
MainSeed_TaxiBJ_P3,TaxiBJ P3,UrbanFM,MAPE_c,3,21408.6149796667,1097.6574812962,21408.6150 +/- 1097.6575
MainSeed_TaxiBJ_P3,TaxiBJ P3,UrbanFM,RMSE,3,105.1043116667,0.9667326205,105.1043 +/- 0.9667
MainSeed_TaxiBJ_P3,TaxiBJ P3,UrbanFM,RMSE_c,3,1362.9917390000,0.0221324599,1362.9917 +/- 0.0221
MainSeed_TaxiBJ_P4,TaxiBJ P4,FODE,MAE,3,38.5821406667,0.1286286041,38.5821 +/- 0.1286
MainSeed_TaxiBJ_P4,TaxiBJ P4,FODE,MAE_c,3,550.7968760000,0.9073647574,550.7969 +/- 0.9074
MainSeed_TaxiBJ_P4,TaxiBJ P4,FODE,MAPE,3,128178.3463593333,26480.9456275295,128178.3464 +/- 26480.9456
MainSeed_TaxiBJ_P4,TaxiBJ P4,FODE,MAPE_c,3,301.7845360000,255.9096235842,301.7845 +/- 255.9096
MainSeed_TaxiBJ_P4,TaxiBJ P4,FODE,RMSE,3,80.7643820000,0.2095700487,80.7644 +/- 0.2096
MainSeed_TaxiBJ_P4,TaxiBJ P4,FODE,RMSE_c,3,1027.6533843333,0.2661630654,1027.6534 +/- 0.2662
MainSeed_TaxiBJ_P4,TaxiBJ P4,FUPSI,MAE,3,36.2869080000,0.0396137981,36.2869 +/- 0.0396
MainSeed_TaxiBJ_P4,TaxiBJ P4,FUPSI,MAE_c,3,550.7968760000,0.9073647574,550.7969 +/- 0.9074
MainSeed_TaxiBJ_P4,TaxiBJ P4,FUPSI,MAPE,3,75892.7245623333,7566.3657333647,75892.7246 +/- 7566.3657
MainSeed_TaxiBJ_P4,TaxiBJ P4,FUPSI,MAPE_c,3,301.7845360000,255.9096235842,301.7845 +/- 255.9096
MainSeed_TaxiBJ_P4,TaxiBJ P4,FUPSI,RMSE,3,68.7604290000,0.0525829351,68.7604 +/- 0.0526
MainSeed_TaxiBJ_P4,TaxiBJ P4,FUPSI,RMSE_c,3,1027.6533843333,0.2661630654,1027.6534 +/- 0.2662
MainSeed_TaxiBJ_P4,TaxiBJ P4,HA-Mean,MAE,3,43.2782830000,0.0000000000,43.2783 +/- 0.0000
MainSeed_TaxiBJ_P4,TaxiBJ P4,HA-Mean,MAE_c,3,662.7459470000,0.0000000000,662.7459 +/- 0.0000
MainSeed_TaxiBJ_P4,TaxiBJ P4,HA-Mean,MAPE,3,98280.2026730000,0.0000000000,98280.2027 +/- 0.0000
MainSeed_TaxiBJ_P4,TaxiBJ P4,HA-Mean,MAPE_c,3,630.3389120000,0.0000000000,630.3389 +/- 0.0000
MainSeed_TaxiBJ_P4,TaxiBJ P4,HA-Mean,RMSE,3,73.5333080000,0.0000000000,73.5333 +/- 0.0000
MainSeed_TaxiBJ_P4,TaxiBJ P4,HA-Mean,RMSE_c,3,949.3082200000,0.0000000000,949.3082 +/- 0.0000
MainSeed_TaxiBJ_P4,TaxiBJ P4,UrbanFM,MAE,3,38.2269376667,0.2986157342,38.2269 +/- 0.2986
MainSeed_TaxiBJ_P4,TaxiBJ P4,UrbanFM,MAE_c,3,550.7968760000,0.9073647574,550.7969 +/- 0.9074
MainSeed_TaxiBJ_P4,TaxiBJ P4,UrbanFM,MAPE,3,95288.8334010000,18445.0259229976,95288.8334 +/- 18445.0259
MainSeed_TaxiBJ_P4,TaxiBJ P4,UrbanFM,MAPE_c,3,301.7845360000,255.9096235842,301.7845 +/- 255.9096
MainSeed_TaxiBJ_P4,TaxiBJ P4,UrbanFM,RMSE,3,80.0472706667,0.5721621535,80.0473 +/- 0.5722
MainSeed_TaxiBJ_P4,TaxiBJ P4,UrbanFM,RMSE_c,3,1027.6533843333,0.2661630654,1027.6534 +/- 0.2662
